Link,Publishing Info
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-att-folja-upp-statens-stod-till-idrotten/,"Publicerad22 december 2017·RegeringsuppdragfrånRegeringen,Socialdepartementet"
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-att-leda-projekt-om-hallbara-nordiska-stader-med-fokus-pa-klimatsmart-mobilitet-som-en-del-av-det-svenska-ordforandeskapet-i-nordiska-ministerradet/,"Publicerad22 december 2017·RegeringsuppdragfrånKlimat- och näringslivsdepartementet,Regeringen"
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-att-stodja-implementeringen-av-nationella-riktlinjer-for-prevention-och-behandling-vid-ohalsosamma-levnadsvanor-for-att-forebygga-kroniska-sjukdomar/,"Publicerad22 december 2017·RegeringsuppdragfrånRegeringen,Socialdepartementet"
https://www.regeringen.se/remisser/2017/12/remiss-sou-201793-klarlagd-identitet/,Publicerad22 december 2017·RemissfrånJustitiedepartementet
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-till-kungl.-biblioteket-att-ta-fram-bedomningskriterier-for-att-kunna-folja-utvecklingen-mot-ett-oppet-vetenskapssystem,"Publicerad22 december 2017·RegeringsuppdragfrånRegeringen,Utbildningsdepartementet"
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-till-vetenskapsradet-att-ta-fram-bedomningskriterier-for-att-kunna-folja-utvecklingen-mot-ett-oppet-vetenskapssystem/,"Publicerad22 december 2017·RegeringsuppdragfrånRegeringen,Utbildningsdepartementet"
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-till-kriminalvarden-aklagarmyndigheten-och-statens-institutionsstyrelse-att-lamna-forslag-pa-atgarder-i-syfte-att-forbattra-situationen-for-barn-som-frihetsberovas/,"Publicerad22 december 2017·RegeringsuppdragfrånJustitiedepartementet,Regeringen"
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-till-statens-vag--och-transportforskningsinstitut-att-ta-fram-och-sprida-kunskap-om-mikroplastutslapp-fran-transportsystemet/,Publicerad22 december 2017·RegeringsuppdragfrånKlimat- och näringslivsdepartementet
https://www.regeringen.se/regeringsuppdrag/2017/12/regleringsbrev-for-budgetaret-2018-avseende-bolagsverket-inom-utgiftsomrade-24-naringsliv/,"Publicerad22 december 2017·RegeringsuppdragfrånKlimat- och näringslivsdepartementet,Regeringen"
https://www.regeringen.se/remisser/2017/12/remiss-kommunens-informationsskyldighet-enligt-lagen-om-stod-och-service-till-vissa-funktionshindrade/,Publicerad22 december 2017·RemissfrånSocialdepartementet
https://www.regeringen.se/remisser/2017/12/remiss-ds-201767-lonegaranti-och-utbetalande-myndighet/,Publicerad22 december 2017·RemissfrånArbetsmarknadsdepartementet
https://www.regeringen.se/rattsliga-dokument/departementsserien-och-promemorior/2017/12/kommunens-informationsskyldighet-enligt-lagen-om-stod-och-service-till-vissa-funktionshindrade/,"Publicerad22 december 2017·Departementsserien och promemorior,Rättsliga dokumentfrånRegeringen,Socialdepartementet"
https://www.regeringen.se/rattsliga-dokument/departementsserien-och-promemorior/2017/12/ds-201767/,"Publicerad22 december 2017·Departementsserien och promemorior,Rättsliga dokumentfrånArbetsmarknadsdepartementet"
https://www.regeringen.se/rattsliga-dokument/departementsserien-och-promemorior/2013/08/andrad-deklarationstidpunkt-for-mervardesskatt/,"Publicerad30 augusti 2013· Uppdaterad22 december 2017·Departementsserien och promemorior,Rättsliga dokument"
https://www.regeringen.se/remisser/2017/12/remiss-sou-201796-utvidgat-hinder-mot-erkannande-av-barnaktenskap/,Publicerad22 december 2017·RemissfrånJustitiedepartementet
https://www.regeringen.se/remisser/2017/12/remiss-ds-201764-mindre-eller-obetydliga-fel-gallande-villkoren-for-arbetstillstand/,Publicerad22 december 2017·RemissfrånJustitiedepartementet
https://www.regeringen.se/rattsliga-dokument/skrivelse/2017/12/skr.-20171869,"Publicerad22 december 2017·Rättsliga dokument,SkrivelsefrånJustitiedepartementet,Regeringen"
https://www.regeringen.se/remisser/2017/12/remiss-sou-201792-transpersoner-i-sverige--forslag-for-starkt-stallning-och-battre-levnadsvillkor/,Publicerad22 december 2017·RemissfrånKulturdepartementet
https://www.regeringen.se/rattsliga-dokument/lagradsremiss/2017/12/forenklat-beslutsfattande-om-hemtjanst-for-aldre/,"Publicerad21 december 2017·Lagrådsremiss,Rättsliga dokumentfrånRegeringen,Socialdepartementet"
https://www.regeringen.se/remisser/2017/12/remiss-ds-201763-reglering-av-ekonomiska-formaner-for-fortroendevalda-i-sametinget/,Publicerad21 december 2017·RemissfrånKulturdepartementet
https://www.regeringen.se/remisser/2017/12/remiss-ds-201765-sakerhetshojande-atgarder-vid-sametingets-sammantraden/,Publicerad21 december 2017·RemissfrånKulturdepartementet
https://www.regeringen.se/rattsliga-dokument/departementsserien-och-promemorior/2017/12/ds-201765/,"Publicerad21 december 2017·Departementsserien och promemorior,Rättsliga dokumentfrånKulturdepartementet"
https://www.regeringen.se/rattsliga-dokument/lagradsremiss/2017/12/effektivare-sanktioner-i-livsmedelskedjan/,"Publicerad21 december 2017·Lagrådsremiss,Rättsliga dokumentfrånLandsbygds- och infrastrukturdepartementet"
https://www.regeringen.se/rattsliga-dokument/lagradsremiss/2017/12/en-ny-sexualbrottslagstiftning-byggd-pa-frivillighet/,"Publicerad21 december 2017·Lagrådsremiss,Rättsliga dokumentfrånJustitiedepartementet,Regeringen"
https://www.regeringen.se/rattsliga-dokument/departementsserien-och-promemorior/2017/12/ds-201763/,"Publicerad21 december 2017·Departementsserien och promemorior,Rättsliga dokumentfrånKulturdepartementet"
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-om-metodutveckling-for-myndighetsgemensam-kontroll-for-att-motverka-fusk-regelovertradelser-och-brottslighet-i-arbetslivet/,"Publicerad21 december 2017·RegeringsuppdragfrånArbetsmarknadsdepartementet,Regeringen"
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-angaende-administration-fordelning-av-medel-och-uppfoljning-av-satsning-pa-bidrag-till-sommarlovsaktiviteter/,"Publicerad21 december 2017·RegeringsuppdragfrånRegeringen,Socialdepartementet"
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-till-myndigheten-for-press-radio-och-tv-avseende-sveriges-radio-abs-och-sveriges-television-abs-uppgift-att-spegla-forhallanden-i-hela-landet/,"Publicerad21 december 2017·RegeringsuppdragfrånKulturdepartementet,Regeringen"
https://www.regeringen.se/regeringsuppdrag/2017/12/utreda-mojligheter-att-oka-transparensen-i-elsystemet/,"Publicerad21 december 2017·RegeringsuppdragfrånKlimat- och näringslivsdepartementet,Statsrådsberedningen"
https://www.regeringen.se/rattsliga-dokument/lagradsremiss/2017/12/nagra-civilrattsliga-anpassningar-till-eus-dataskyddsforordning/,"Publicerad21 december 2017·Lagrådsremiss,Rättsliga dokumentfrånJustitiedepartementet,Regeringen"
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-till-kungl.-biblioteket-om-digitalt-kompetenslyft,"Publicerad21 december 2017·RegeringsuppdragfrånKulturdepartementet,Regeringen"
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-angaende-administration-fordelning-av-medel-och-uppfoljning-av-satsning-pa-bidrag-till-avgiftsfri-simskola-for-elever-i-forskoleklass/,"Publicerad21 december 2017·RegeringsuppdragfrånRegeringen,Socialdepartementet"
https://www.regeringen.se/regeringsuppdrag/2017/12/uppdrag-angaende-administration-fordelning-av-medel-och-uppfoljning-av-satsning-pa-bidrag-till-lovaktiviteter/,"Publicerad21 december 2017·RegeringsuppdragfrånRegeringen,Socialdepartementet"
https://www.regeringen.se/remisser/2017/12/remiss-av-sou-2017102-skatt-pa-kadmium-i-vissa-produkter-och-kemiska-vaxtskyddsmedel/,Publicerad21 december 2017·RemissfrånFinansdepartementet
https://www.regeringen.se/rattsliga-dokument/lagradsremiss/2017/12/ny-dataskyddslag/,"Publicerad21 december 2017·Lagrådsremiss,Rättsliga dokumentfrånJustitiedepartementet,Regeringen"
https://www.regeringen.se/rattsliga-dokument/kommittedirektiv/2017/12/dir.-2017131,"Publicerad21 december 2017·Kommittédirektiv,Rättsliga dokumentfrånJustitiedepartementet,Regeringen"
https://www.regeringen.se/rattsliga-dokument/kommittedirektiv/2017/12/dir.-2017133,"Publicerad21 december 2017·Kommittédirektiv,Rättsliga dokumentfrånRegeringen,Socialdepartementet"
https://www.regeringen.se/rattsliga-dokument/kommittedirektiv/2017/12/dir.-2017121,"Publicerad21 december 2017·Kommittédirektiv,Rättsliga dokumentfrånJustitiedepartementet,Regeringen"
https://www.regeringen.se/rattsliga-dokument/kommittedirektiv/2017/12/dir.-2017134,"Publicerad21 december 2017·Kommittédirektiv,Rättsliga dokumentfrånFinansdepartementet,Regeringen"
