,Source,Date,Document_Type,Text,URL
0,"Arbetsmarknadsdepartementet,Finansdepartementet,Försvarsdepartementet,Justitiedepartementet,Kulturdepartementet,Landsbygds- och infrastrukturdepartementet,Socialdepartementet,Statsrådsberedningen,Utbildningsdepartementet,Utrikesdepartementet",25 oktober 2023,Ärendeförteckning,     Ärendeförteckning I  regeringssammanträde    2023- 10-26  Underprotokoll A  Nr 21   Statsrådsberedningen  Rättschefen Per Hall           1 (2)        Föredragande:   statsrådet Busch   Ärende:    1  Riksdagsskrivelse 2022/23:220 med  överlämnande av konstitutionsutskottets  betänkande 2022/23:KU20  Granskningsbetänkande   SB2022/01529   SB2022/01530   SB2022/01531   SB2023/00063   SB2023/00064   SB2023/00065   SB2023/00066   SB2023/00067   SB2023/00068   SB2023/00069   SB2023/00070   SB2023/00071   SB2023/00072   SB2023/00079   SB2023/00080   SB2023/00101   SB2023/00152   SB2023/00153   SB2023/00183   SB2023/00184   SB2023/00185   SB2023/00186   SB2023/00193   SB2023/00 194    2 (2)     SB2023/00195   SB2023/00219   SB2023/00694      ,https://www.regeringen.se/arendeforteckningar/2023/10/arendeforteckningar-vecka-43-2023/
1,Landsbygds- och infrastrukturdepartementet,25 oktober 2023,Kommenterad dagordning,"     Kommenterad dagordning   rådet     2023 -10-12          Landsbygds - och infrastrukturdepartementet   Sekretariatet för EU och internationella frågor                   Rådets möte ( jordbruks - och fiske ministrarna) den 23–24  oktober  2023   1.   Godkännande av dagordningen   2.   A-punkter   3.   Rådets förordning om fastställande för 202 4 av fiskemöjligheter i  Östersjön och vissa bestånd utanför Östersjön     - Politisk överenskommelse   Ansvarigt statsråd:  Peter Kullgren   Förslagets innehåll:     Den 2 8 augusti 202 3 presenterade kommissionen ett förslag till förordning  när det gäller fastställand e av fiskemöjligheter i Östersjön för 202 4 samt vissa  fiskemöjligheter i vatten utanför Östersjön.  Kommissionens förslag för 2024  reglerar i Östersjön arterna torsk, sill, skarpsill, lax och rödspätta samt i viss  mån öring. Förslaget innehåller även försla g vad gäller vitlinglyra i Nordsjön .  Kommissionen har angett att förslaget till totala tillåtna fångstmängder  (TAC) och kvoter för 2024 i Östersjön överensstämmer med målen och  principerna i den gemensamma fiskeripolitiken, inklusive målet om  beståndsstorl ek över den nivå som kan ge maximalt hållbar avkastning  (MSY) och är i linje med den fleråriga Östersjöplanen för torsk,  sill/strömming och skarpsill i Östersjön.   Kommissionens förslag avser TAC för de två förvaltningsområdena för  torsk, TAC för de fyra f örvaltningsområdena för sill, TAC för de två 2 (8)     förvaltningsområdena för lax samt TAC för skarpsill och rödspätta i hela  Östersjön under 2024. Förslaget avser även TAC för vitlinglyra i Nordsjön  för perioden 1 november 2023 till 31 oktober 2024.   Kommissionen s förslag innebär en sänkning av fiskemöjligheterna för 2024  jämfört med fiskemöjligheterna för 2023.   Förslaget har diskuterats i det regionala forumet för Östersjön, Baltfish, och i  rådets förberedande organ under september och oktober 2023.  Målsättninge n är att rådet ska nå en politisk överenskommelse vid  Jordbruks - och fiskerådet den 23–24 oktober 202 3.  Förslag till svensk ståndpunkt:    Regeringens övergripande målsättning är att förvaltningsåtgärder ska beslutas  i linje med den gemensamma fiskeripolitikens mål och principer.   I linje med angivna ståndpunkter i faktapromemoria 2023/24:FPM3 Förslag  till förordning om fiskemöjligheter i Öst ersjön anser regeringen att Sverige  bör verka för försiktigt satta fiskemöjligheter, så att fiskbeståndet ges  möjlighet till återhämtning, i enlighet med den fleråriga planen. Regeringen  anser att förslaget i delar kan behöva justeras i syfte att mildra de  negativa  effekterna för det svenska lokala kustnära fisket och den råvaruförsörjning  till den svenska beredningsindustrin som har som syfte att leverera produkter  till humankonsumtion.   Regeringen kommer att verka för att regeringens övergripande målsättning  återspeglas i den slutliga kompromissen.   Datum för tidigare behandling i riksdagen :                                                      Överläggning kommer ske i Miljö - och jordbruksutskottet den 19 oktober  med anledning av faktapr omemoria 2023/24:FPM3 Förslag till förordning  om fiskemöjligheter i Östersjön.   Fortsatt behandling av ärendet:    Rådets förordning om fastställande för 202 4 av fiskemöjligheter i Östersjön  förväntas antas formellt innan årsskiftet.   Faktapromemoria:                                                                                                   Förslag till förordning om fiskemöjligheter i Östersjön 2023/24:FPM3  3 (8)     4.   ICCATs årsmöte (Nya Kairo, Egypten, den 13 -20 november 2023)      - Diskussion     Ansvarigt statsråd:  Peter Kullgren   Förslagets innehåll:   ICCAT, International Convention for the Conservation of Atlantic Tunas, är  den internationella konventionen för förvaltning av tonfiskar och andra långt  vandrande fiskarter i Atlanten. Grundfördraget antogs 1966 och träd de i  kraft 1969. ICCAT har 53 medlemmar, inklusive EU. Cirka 30 arter hanteras  av ICCAT; tonfiskar (t.ex. blåfenad, gulfenad, storögd och bonit), spjutfiskar  (svärdfisk, marlin -arter m.fl.), makrillarter och vissa arter av haj (t.ex. blåhaj  och makrillhaj) .   För EU:s del är ICCAT viktig och EU är den största enskilda aktören i  ICCAT med ca 60 % av kvoten av det östliga beståndet av blåfenad tonfisk  (BFT). Även andra resurser förvaltas men BFT är den art som upptar  huvuddelen av arbetet i ICCAT. Sedan ICCAT: s årsmöte 2018 finns det en  förvaltningsplan för den blåfenade tonfisken.   Efter flera årtiondens frånvaro förekommer den blåfenade tonfisken sedan  några år tillbaka återigen i svenska vatten i Skagerrak och Kattegatt. Sverige  har ingen egen fiskekvot som m edger ett riktat fiske efter BFT. Svenska  fiskare får den som oönskad bifångst i det pelagiska fisket (i det fria vattnet)  och har i dagsläget möjlighet att landa den på en EU -gemensam  bifångstkvot.   ICCAT beslutar dels om administrativa och finansiella ang elägenheter, dels  om kvoter och andra förvaltningsåtgärder för kommande år för de  fiskbestånd som omfattas av kommissionens verksamhet, främst tonfisk och  tonfiskliknande arter men även bland annat hajar och svärdfisk. Syftet med  meningsutbytet är att ge v ägledning för kommissionen inför årsmötet.   Förslag till svensk ståndpunkt:                                                             Regeringens grundinställning är att det är angeläget att EU verkar för att nå  målen som sätts upp inom ramen för den geme nsamma fiskeripolitiken,  inklusive mål avseende den externa dimensionen i enlighet med del VI i  EU:s gemensamma fiskeripolitik (GFP).  4 (8)     Vad gäller fiskemöjligheter anser regeringen således att det är angeläget att nå  målen om beståndsstorlek över den nivå so m kan ge maximalt hållbar  avkastning, att reformens mål om landningsskyldighet möjliggörs och att den  vetenskapliga rådgivningen utgör grunden för besluten.   Regeringen anser att förvaltningsstrategier är viktiga verktyg för att uppnå  detta. Därför anser r egeringen att det är viktigt att fortsätta arbetet med att  se över och upprätta strategier för arter som fortfarande saknar dem.     Datum för tidigare behandling i riksdagen:   Frågan har inte tidigare varit föremål för samråd med EU -nämnden eller  information i MJU   Fortsatt behandling av ärendet:                                                                       ICCAT:s årsmöte äger rum i  New Cairo, Egypten och hybrid den 1 3 - 20  november.     5.   Ramverksdirektivet om avfall – aspekter som rör livsmedel     - Information från ordförandeskapet och kommissionen   - Diskussion   Ansvarigt statsråd:  Romina Pourmokhtari   Förslagets innehåll:    Förslaget innebär en revidering av avfallsdirektivet avgränsad till livsmedels -  och textilavfall. Syftet med förslaget är att minska påverkan på miljö och  klimat. Kommissionen konstaterar att livsmedelsavfallsmängderna inte  minskar i den takt som krävs för  att göra betydande framsteg mot det  globala hållbarhetsmålet om att till 2030 halvera det globala matsvinnet  (hållbarhetsmål 12.3). Kommissionen föreslår därför mål för att driva på  arbetet. Förslaget innehåller två bindande mål för minskat livsmedelavfal l till  2030, ett för livsmedelsindustrin och ett gemensamt för handel och annan  livsmedelsdistribution, restauranger och offentlig måltid samt hushåll. För  livsmedelsindustrin så gäller målet minskning av total mängd, medan det för  butik (inklusive livsmed elsdistribution) och konsumentled föreslås 5 (8)     minskningsmål per capita. Uppmätta minskningar innan 2020 föreslås kunna  tillgodoräknas måluppfyllelsen. Enligt förslaget ska ambitionsnivån  utvärderas 2027 eftersom målnivån är lägre än vad det globala målet SDG  12.3 fastställer. Kommissionen föreslår även en miniminivå avseende vilka  åtgärder medlemsstaterna ska införa för ett minskat livsmedelsavfall. Varje  medlemsland ska inom två år revidera och anpassa sitt nationella program  för minskat livsmedelsavfall liks om utse ansvariga myndigheter för  samordning av nödvändiga åtgärder i syfte att nå målen.     Förslag till svensk ståndpunkt:    Regeringen välkomnar förslaget till reviderat avfallsdirektiv som hanterar  mat- och textilavfall eftersom dessa områden har stor påv erkan på miljö och  klimat.   Regeringen välkomnar bindande mål men anser att målnivåer och målår ska  sättas på en realistisk nivå. Regeringen anser vidare att tidigare påvisad  minskning av livsmedelsavfall bör räknas in i målet och att  uppföljningsmetoder oc h inrapporteringssystem ska utformas utan en alltför  stor administrativ börda för företag och för myndigheter. Regeringen är  positiv till ett förtydligande av kraven i de nationella programmen men vill  värna om flexibiliteten för medlemsstaten att välja vi lka åtgärder som är mest  effektiva att genomföra.     Datum för tidigare behandling i riksdagen:                                                            Den 5 oktober 2023 hölls överläggningar med riksdagen med anledning av  faktapromemoria 2022/23:FPM126 För slag till ändring av EU:s  avfallsdirektiv.   Fortsatt behandling av ärendet :                                                              Förhandlingar om kommissionens förslag till revidering av avfallsdirektivet  kommer fortsatt ske under miljörådet.   Faktapr omemoria:                                                                                   2022/23:FPM126 Förslag till ändring av EU:s avfallsdirektiv.  6 (8)     6.   Marknadssituationen, särskilt efter invasionen av Ukraina   - Information från kommissionen och medlemsstate rna   - Diskussion   Ansvarigt statsråd:  Peter Kullgren   Förslagets innehåll:     Vid rådsmötet kommer EU -kommissionen att informera om situationen på  jordbruksmarknaderna följt av en diskussion.   Jordbruksmarknaderna i Europa och globalt för jordbruksprodukter och  insatsvaror till jordbruket är fortsatt påverkade av effekter från den tidigare  pandemin och Rysslands olagliga invasion av Ukraina. I Europa har  jordbruket och trädgårdsnäringen detta år även påverkats av ogynnsamma  väderförhållande na. Effekten varierar mellan medlemsstater och sektorer. I  vissa fall som för Sverige har det markant påverkan på kvantitet och kvalitet.   Samtidigt finns det tecken på positiva marknadsutsikter, eftersom  insatskostnaderna fortsatte att minska (t.ex. energi , gödningsmedel och  foder). Lägre jordbrukspriser i EU leder till en ytterligare sänkning av EU:s  jordbruksprisindex. Industri - och konsumentprisindex stiger inte längre  vilket kan resultera i en ökad efterfrågan enligt EU -kommissionen. Det har  även skett en återhämtning av EU:s export av vissa jordbruksråvaror mot  bakgrund av mer konkurrenskraftiga EU -priser. EU -kommissionen bedömer  att detta kommer att fortsätta under 2024 eftersom växelkursen mellan EUR  och USD förväntas förbli relativt låg. Samtidigt är  EU-marknaden attraktiv  för import.   I Sverige har vädret, efter en besvärlig augusti och inledning av september,  på de flesta håll möjliggjort att skörden av spannmål och oljeväxter i stort  sett kunnat slutföras, även i områden som tidigare drabbats hårt a v mycket  regn. Skörden av spannmål och oljeväxter blir mindre än normalt och  ogynnsamt väder har lett till omfattande kvalitetsskador. En stor del av  skörden som var avsedd för livsmedelsändamål kommer att gå till foder.  Gynnsamt väder under de senaste mån aderna har gett god skörd av vallfoder  samt god tillväxt på betena. I de flesta områdena i landet kommer det finnas  tillräckligt med grovfoder. Det är däremot fortsatt en viss brist på halm.  7 (8)     Hittills har svensk grisköttsproduktion inte påverkats av utbrot tet av  afrikansk svinpest på så sätt att avräkningspriserna fallit.   Höga kostnader för de produktionsmedel som använts för 2023 års  växtodlingssäsong i kombination med en svag avkastning och låg kvalitet ger  risk för lönsamhetsproblem för företag med växt odling.     Förslag till svensk ståndpunkt:     Regeringen är positiv till att ordförandeskapet lyfter frågan om  marknadssituationen på rådet. Det är viktigt att tydliggöra situationen och  utmaningarna på jordbruksmarknaderna. Regeringen anser även att det är  viktigt att eventuella förslag från kommissi onen eller medlemsstaterna för att  möta utmaningarna belyses på ett transparent sätt.   Regeringen är vidare positiv till eventuella förslag om undantag i regelverk  som öppnar upp för möjligheter till ökad produktion under 2024. Det skulle  kunna omfatta lik nande undantag från regler för miljöytor som gällt under  2023. Det är samtidigt viktigt att analysera och ta ställning till eventuella  åtgärder från fall till fall och beakta exempelvis eventuella  miljökonsekvenser. Mot bakgrund av att regeringen driver en   budgetrestriktiv linje är det även viktigt att säkerställa att eventuella förslag  som kommissionen presenterar inte innebär nya åtaganden som på kort eller  lång sikt inte kan finansieras inom befintliga ekonomiska ramar.     Datum för tidigare behandling i r iksdagen:                                    Marknadssituationen var senast föremål för information i miljö - och  jordbruksutskottet den 25 maj samt för samråd med EU -nämnden den 21  juli 2023.     Fortsatt behandling av ärendet :                                                                             Ej aktuellt   Faktapromemoria : - 8 (8)     Övriga frågor   7a Förordningen om certifiering av koldioxidupptag: aspekter som rör  jordbruk och skogsbruk – lägesrapport   - Information från ordförandeskapet   Ansvarigt statsråd: Romina  Pourmokhtari   Förslagets innehåll:    Information från ordförandeskapet om jordbruks - och skogsbruksaspekter  av förslaget till certifieringsramverk för upptag och infångning av koldioxid.  Förslaget presenterades den 30 november 2022. Certifieringsramverket s ka  bidra till och säkerställa hög kvalitet på åtgärderna för upptag och infångning  av koldioxid och förslaget till förordning omfattar kvalitetskriterier,  verifierings - och certifieringsprocess samt regler för certifieringssystemen.   Syftet med punkten är att uppdatera ministrarna om pågående förhandlingar  på rådsarbetsgruppsnivå och hur dessa påverkar jord - och skogsbruk.    7b Påverkan av EU:s koldioxidmarknad på jordbrukssektorn och den  jordbruksrelaterade livsmedelsindustrin     - Inform ation från den polska delegationen   Ansvarigt statsråd : Romina Pourmokhtari   Förslagets innehåll :                                                                                               Polen har skickat en not om att EU ETS utsläppshandels effekt på  energipriserna hotar industriproduktionen i EU, inklusive  jordbruksproduktionen och livsmedelssektorn. Det påverkar också  konsumenternas situation och allmän livsmedelsförsörjning. Av denna  anledning ser Polen behovet av att föra en diskussion om denna fråg a.   ",https://www.regeringen.se/kommenterade-dagordningar/2023/10/kommenterad-dagordning-infor-jordbruks--och-fiskeradet-23-24-oktober-2023/
2,Justitiedepartementet,25 oktober 2023,Remiss,"    Remiss         2023 -10-25  Ju2023/02364       Justitiedepartementet    Enheten för domstols- och åklagarfrågor                 Telefonväxel: 08 -405 10 00   Fax: 08 -20 27 34   Webb: www.regeringen.se  Postadress: 103 33 Stockholm   Besöksadress: Herkulesgatan 17   E-post: ju.registrator@regeringskansliet.se     Utkast till lagrådsremiss Bättre möjligheter att verkställa  frihetsberövanden   Remissinstanser   1. Attunda tingsrätt   2. Brottsförebyggande rådet   3. Brottsofferjouren Sverige   4. Brottsoffermyndigheten   5. Civil Rights Defenders   6. Diskrimineringsombudsmannen   7. Domarnämnden   8. Domstolsverket   9. ECPAT Sverige   10. Ekobrottsmyndigheten   11. Göteborgs tingsrätt   12. Helsingborgs tingsrätt   13. Institutet för mänskliga rättigheter  2 (4)     14. Integritetsskyddsmyndigheten   15. Internetstiftelsen   16. Journalistförbundet   17. Justitiekanslern   18. Kammarrätten i Jönköping   19. Kammarrätten i Sundsvall   20. Kriminalvården   21. Kustbevakningen   22. Luleå tingsrätt   23. Lunds universitet (juridiska fakulteten)   24. Polismyndigheten   25. Post- och telestyrelsen   26. Riksdagens ombudsmän (JO)   27. Skatteverket   28. Socialstyrelsen   29. Stockholms tingsrätt   30. Svea hovrätt   31. Svenska kyrkan   32. Sveriges advokatsamfund   33. Sveriges domareförbund   34. Sveriges kristna råd  3 (4)     35. Säkerhets - och integritetsskyddsnämnden   36. Säkerhetspolisen   37. Tidningsutgivarna  (TU)   38. Tullverket   39. Uppsala universitet (juridiska fakulteten)   40. Utgivarna   41. Åklagarmyndigheten   I utkastet till lagrådsremiss behandlas de lagändringar som föreslås i det  tidigare remitterade betänkandet Bättre möjligheter att verkställa  frihetsberövanden (SOU 2022:50). I förhållande till utredninge ns förslag har  vissa ändringar gjorts , bl.a. i fråga om behörig domstol  och sekretess kopplat  till den nya lagen om hemliga tvångsmedel i syfte att verkställa  frihetsberövande påföljder. Därtill har de föreslagna reglerna om bl.a.  överskottsinformation, gr anskning och bevarande, dokumentation och  underrättelse till enskilda behövt anpassas till de lagändringar som träd de i  kraft den 1 oktober 2023 (prop. 2022/23:126, bet. 2022/23:JuU3, rskr.  2023/24:2).   I remissen ligger att regeringen vill ha synpunkter på förslag en i de delar  de  skiljer sig från förslagen i det tidigare remitterade betänkandet .  Remissvaren ska ha kommit in till Justitiedepartementet senast den 15  november 2023 . Svaren bör lämnas per e -post till  ju.remissvar@regeringskansliet .se och med kopia till  ju.da@regeringskansliet.se. Ange diarienummer Ju2023/02364  och  remissinstansens namn i ämnesraden på e -postmeddelandet.   Svaret bör lämnas i två versioner: den ena i ett bearbetningsbart format (t.ex.  Word), den andra i ett format  (t.ex. pdf) som följer tillgänglighetskraven  enligt lagen (2018:1937) om tillgänglighet till digital offentlig service.  Remissinstansens namn ska anges i namnet på respektive dokument.   Remissvaren kommer att publiceras  på regeringens webbplats.  4 (4)     Myndighet er under regeringen  är skyldiga att svara på remissen. En  myndighet avgör dock på eget ansvar om den har några synpunkter att  redovisa i ett svar. Om myndigheten inte har några synpunkter, räcker det att  svaret ger besked om detta.   För andra remissinstanse r innebär remissen en inbjudan att lämna  synpunkter.   Utkastet till lagrådsremiss , det tidigare remitterade betänkandet  och inkomna  remissvar kan laddas ned från Regeringskansliets webbplats  www.regeringen.se .   Råd om hur remissyttranden utformas finns i Statsrådsberedningens  promemoria Svara på remiss (SB PM 2021:1) . Den kan laddas ned från  Regeringskansliets webbplats www.regeringen.se.         Evelina Sandgren   Kansli råd     ",https://www.regeringen.se/remisser/2023/10/remiss-av-utkast-till-lagradsremiss-battre-mojligheter-att-verkstalla-frihetsberovanden/
